u,max_error,mean_error,std_error
20,0.0682810195154582,0.0288371562940671,0.0136410089570817
30,0.0771800045725247,0.0313494020510148,0.0144333366219188
40,0.161924087112619,0.040345885338198,0.0227424349860894
50,0.484327625263998,0.0931561863327851,0.0905234810390751
60,1.42086863358782,0.242128615653704,0.279053869928891
